Acronym,Projeto,Integrations
mcsv,mcsv-interno-pagamentos-java , pgto-integration; acpf-integration ; mcsv-integration ; atcl-integration ;cnio-corp
mcsv,mcsv-interno-gestao-limite-credito-java , glpf-integration ; glcr-integration ; acpf-integration ; mcsv-integration ; atcl-integration ;cnio-corp; empp-integration
mcsv,mcsv-interno-contas-java , mcsv-corp; mcsv-integration; cdps-corp; cdps-integration; ctas-corp; acpf-integration; atcl-integration; ctas-integration; cnio-corp; cnio-integration
mcsv,mcsv-abertura-conta-token-java , reip-integration
mcsv,mcsv-abertura-conta-java , lgpd-integration; reip-integration; cdps-integration; atad-integration; autr-integration; atco-integration; obot-integration; ceno-integration
mcsv,mcsv-abertura-conta-documento-java , reip-integration
mcsv,mcsv-token-atendimento-java , cnio-corp; original-legacy; mcsv-integration; acpf-integration; atcl-integration
mcsv,mcsv-interno-tarefas-ofertas-java , cnio-corp; original-legacy; obot-corp; cdps-integration; acpf-integration; mcsv-integration; atcl-integration
mcsv,mcsv-interno-agenda-comercial-java , acpf-integration;mcsv-integration;atcl-integration;cnio-corp;cdps-integration
mcsv,mcsv-mesa-credito-pj-java , glpj-integration; cdps-integration; glcr-integration
mcsv,mcsv-interno-retencao-callback-java , acpf-integration;mcsv-integration;atcl-integration;cnio-corp;retr-integration;pgto-integration;alcd-integration;clbk-integration
mcsv,mcsv-interno-atividades-bpmo-java , acpf-integration;mcsv-integration;atcl-integration;cnio-corp
mcsv,mcsv-capital-giro-java , cbic-integration; cosg-integration; ctas-integration; empp-integration; intr-integration
mcsv,mcsv-interno-credito-java , cnio-corp; cdps-integration; glpj-integration; glcr-integration; gedc-integration; acpf-integration; mcsv-integration; atco-integration; clbk-integration; atcl-integration
mcsv,mcsv-interno-documentos-java , gedc-integration; acpf-integration ; mcsv-integration ; atcl-integration ;cnio-corp; glpj-integration
mcsv,mcsv-interno-gerentes-java , meta-integration; reip-integration; meta-corp; acpf-integration; mcsv-integration; atcl-integration; cnio-corp; cdps-integration
mcsv,mcsv-interno-cadastro-java , meta-integration; cdps-integration; atcl-integration; cnio-corp; mcsv-integration; acpf-integration; reip-integration
mcsv,mcsv-bootstrap-java , epat-corp; cnio-corp; acpf-integration; mcsv-integration; epat-integration; atco-integration; clbk-integration; atcl-integration; cdps-integration; cdps-corp
